,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
124,2020-06-30T00:00:00.000Z,203.51,204.4,197.74,197.88,34310283,199.8943780584,200.7685660416,194.2268896726,194.364402389,34310283,0.0,1.0
125,2020-07-01T00:00:00.000Z,204.7,206.35,201.77,203.14,32071431,201.0632361483,202.6839217353,198.1852914394,199.5309515934,32071431,0.0,1.0
126,2020-07-02T00:00:00.000Z,206.26,208.02,205.0,205.68,29322547,202.5955207033,204.324251996,201.3579062551,202.0258251636,29322547,0.0,1.0
127,2020-07-06T00:00:00.000Z,210.7,211.13,208.09,208.83,32033747,206.9566382826,207.3789987689,204.3930083542,205.1198612841,32033747,0.0,1.0
128,2020-07-07T00:00:00.000Z,208.25,214.67,207.99,210.45,33600749,204.5501657445,210.8561060282,204.2947849853,206.7110798604,33600749,0.0,1.0
129,2020-07-08T00:00:00.000Z,212.83,213.26,208.69,210.07,33602226,209.0487960403,209.4711565266,204.9823485676,206.3378310585,33602226,0.0,1.0
130,2020-07-09T00:00:00.000Z,214.32,216.38,211.47,216.33,33122280,210.512324237,212.5357256364,207.7129582232,212.486613952,33122280,0.0,1.0
131,2020-07-10T00:00:00.000Z,213.67,214.08,211.08,213.62,26178663,209.8738723391,210.2765881516,207.3298870845,209.8247606547,26178663,0.0,1.0
132,2020-07-13T00:00:00.000Z,207.07,215.8,206.5,214.48,38135816,203.3911299914,211.9660300968,202.8312567886,210.6694816272,38135816,0.0,1.0
133,2020-07-14T00:00:00.000Z,208.35,208.85,202.03,206.13,37598121,204.6483891134,205.1395059579,198.4406721986,202.4678303237,37598121,0.0,1.0
134,2020-07-15T00:00:00.000Z,208.04,211.33,205.03,209.56,32248893,204.3438966698,207.5754455067,201.3873732657,205.8368918771,32248893,0.0,1.0
135,2020-07-16T00:00:00.000Z,203.92,205.7,202.31,205.4,29940718,200.2970938709,202.0454698374,198.7156976315,201.7507997307,29940718,0.0,1.0
136,2020-07-17T00:00:00.000Z,202.88,205.04,201.39,204.47,31636070,199.2755708343,201.3971956026,197.8120426376,200.8373223999,31636070,0.0,1.0
137,2020-07-20T00:00:00.000Z,211.6,212.3,203.01,205.0,36386080,207.8406486028,208.5282121851,199.4032612138,201.3579062551,36386080,0.0,1.0
138,2020-07-21T00:00:00.000Z,208.75,213.94,208.03,213.66,37702523,205.041282589,210.1390754351,204.3340743329,209.8640500022,37702523,0.0,1.0
139,2020-07-22T00:00:00.000Z,211.75,212.3,208.39,209.2,49605692,207.9879836561,208.5282121851,204.6876784609,205.4832877491,49605692,0.0,1.0
140,2020-07-23T00:00:00.000Z,202.54,210.92,202.15,207.19,67457035,198.94161138,207.1727296942,198.5585402413,203.5089980341,67457035,0.0,1.0
